,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
894,True,False,0,False,0,True
958,False,True,0,False,1,False
1001,True,False,0,False,0,True
1036,False,True,0,False,0,False
1058,True,False,0,False,0,True
1059,True,False,0,True,1,True
1104,True,False,0,False,1,True
1161,False,True,0,True,2,False
1165,True,False,0,False,0,True
1378,True,False,0,False,0,True
1380,True,False,0,False,0,True
1450,False,True,6,False,0,True
1451,False,True,0,False,0,False
1543,True,False,0,False,0,True
1819,False,True,0,False,1,False
1860,True,False,0,False,0,True
1979,True,False,0,True,1,True
1999,True,False,0,False,0,True
2112,True,False,0,False,0,True
2361,False,True,0,True,1,False
2414,False,True,0,True,1,False
2542,False,True,0,True,2,False
2597,True,False,0,False,0,True
2608,False,True,0,False,0,False
2665,True,False,0,False,1,True
2711,True,False,0,False,0,True
2783,True,False,0,False,0,True
2804,True,False,0,False,0,True
2871,False,True,0,False,0,False
3132,False,True,0,False,1,False
3186,True,False,0,False,0,True
3267,True,False,0,True,1,True
3520,False,True,0,True,2,False
3544,True,False,0,False,0,True
3594,True,False,0,False,0,True
3597,True,False,0,False,1,True
3603,False,True,0,False,0,False
3609,False,True,6,True,1,False
3653,True,False,0,False,0,True
3709,True,False,0,False,0,True
3713,False,True,0,False,0,False
3730,False,True,0,False,0,True
3741,True,False,0,False,0,True
3751,True,False,0,False,0,True
3759,True,False,0,False,0,True
3914,True,False,0,False,0,True
3964,False,True,0,False,1,False
3994,True,False,0,False,0,True
4000,True,False,6,False,0,True
4015,False,True,0,False,0,False
4046,False,True,0,True,2,False
4059,False,True,0,False,0,True
4091,True,False,0,True,1,True
4182,True,False,0,False,0,True
4198,False,True,0,False,1,False
4268,True,False,0,False,0,True
4286,True,False,0,False,1,True
4348,False,True,0,False,0,False
4396,False,True,0,False,1,False
4419,True,False,0,False,0,True
4495,True,False,0,False,0,True
4503,False,True,0,False,0,False
5350,False,True,0,False,0,False
5452,True,False,0,False,0,True
5499,False,True,0,False,1,False
5564,True,False,0,False,0,True
5715,False,True,0,True,2,False
5736,True,False,0,False,0,True
5767,True,False,0,False,1,True
5885,False,True,0,False,0,False
6151,True,False,0,False,0,True
6253,True,False,0,False,0,True
6276,False,True,0,False,0,True
6283,True,False,0,False,0,True
6302,True,False,0,False,0,True
6486,False,True,0,True,1,True
6503,True,False,0,True,1,True
6562,False,True,0,False,1,False
6609,False,True,0,True,1,True
6693,False,True,0,True,1,False
6895,False,True,0,True,2,False
6959,False,True,0,False,0,False
7489,False,True,0,True,2,False
7518,False,True,0,False,1,False
7573,False,True,0,False,1,False
7612,False,True,0,False,1,True
