,Unnamed: 0,Cou,MajorUsCarrier,Weekday,CruisingSpd,AltCat,Intl
874,874,True,False,0,False,0,True
949,949,False,True,0,False,1,False
994,994,True,False,0,False,0,True
1029,1029,False,True,0,False,0,False
1053,1053,True,False,6,False,0,True
1054,1054,True,False,0,True,1,True
1104,1104,True,False,0,False,1,True
1162,1162,False,True,0,True,2,False
1167,1167,True,False,0,False,0,True
1389,1389,True,False,0,False,0,True
1391,1391,True,False,0,False,0,True
1469,1469,False,True,6,False,0,True
1470,1470,False,True,6,False,0,False
1563,1563,True,False,0,False,0,True
1814,1814,False,True,0,False,1,False
1856,1856,True,False,0,False,0,True
1979,1979,True,False,0,True,1,True
1999,1999,True,False,0,False,0,True
2019,2019,True,False,0,False,0,True
2117,2117,True,False,0,False,0,True
2374,2374,False,True,0,True,1,False
2431,2431,False,True,0,True,1,False
2561,2561,False,True,0,True,2,False
2618,2618,True,False,0,False,0,True
2629,2629,False,True,0,False,0,False
2688,2688,False,True,6,False,0,False
2692,2692,True,False,0,False,1,True
2712,2712,False,True,6,False,0,True
2741,2741,True,False,0,False,0,True
2815,2815,True,False,0,False,0,True
2838,2838,True,False,0,False,0,True
2909,2909,False,True,0,False,0,False
3141,3141,False,True,0,False,1,False
3198,3198,True,False,0,False,0,True
3282,3282,True,False,0,True,1,True
3556,3556,False,True,0,True,2,False
3581,3581,True,False,0,False,0,True
3633,3633,True,False,0,False,0,True
3636,3636,True,False,0,False,1,True
3642,3642,False,True,0,False,0,False
3648,3648,False,True,6,True,1,False
3694,3694,True,False,0,False,0,True
3742,3742,False,True,0,False,0,False
3752,3752,True,False,0,False,0,True
3756,3756,False,True,0,False,0,False
3774,3774,False,True,0,False,0,True
3785,3785,True,False,0,False,0,True
3795,3795,True,False,6,False,0,True
3804,3804,True,False,0,False,0,True
3937,3937,True,False,0,False,0,True
3990,3990,False,True,0,False,1,False
4024,4024,True,False,0,False,0,True
4031,4031,True,False,6,False,0,True
4046,4046,False,True,0,False,0,False
4052,4052,True,False,0,False,0,True
4078,4078,False,True,0,True,2,False
4091,4091,False,True,6,False,0,True
4126,4126,True,False,0,True,1,True
4222,4222,True,False,0,False,0,True
4238,4238,False,True,0,False,1,False
4297,4297,False,True,6,False,2,True
4315,4315,True,False,0,False,0,True
4334,4334,True,False,0,False,1,True
4401,4401,False,True,0,False,0,False
4456,4456,False,True,0,False,1,False
4479,4479,True,False,0,False,0,True
4563,4563,True,False,0,False,0,True
4571,4571,False,True,0,False,0,False
5494,5494,True,False,0,False,0,True
5545,5545,False,True,0,False,1,False
5615,5615,True,False,0,False,0,True
5713,5713,True,False,6,True,0,True
5774,5774,False,True,0,True,2,False
5796,5796,True,False,0,False,0,True
5829,5829,True,False,0,False,1,True
5952,5952,False,True,0,False,0,False
6235,6235,True,False,0,False,0,True
6344,6344,True,False,0,False,0,True
6368,6368,False,True,0,False,0,True
6375,6375,True,False,0,False,0,True
6380,6380,True,False,0,False,0,True
6395,6395,True,False,0,False,0,True
6509,6509,True,False,0,True,1,True
6621,6621,False,True,0,True,1,True
6713,6713,False,True,0,True,1,False
6936,6936,False,True,0,True,2,False
7004,7004,False,True,0,False,0,False
7461,7461,False,True,0,False,0,False
7563,7563,False,True,0,True,2,False
7595,7595,False,True,0,False,1,False
7653,7653,False,True,0,False,1,False
7700,7700,False,True,0,False,1,True
8726,8726,True,False,0,False,0,True
8790,8790,False,True,0,False,1,False
8833,8833,True,False,0,False,0,True
8868,8868,False,True,0,False,0,False
8890,8890,True,False,0,False,0,True
8891,8891,True,False,0,True,1,True
8936,8936,True,False,0,False,1,True
8993,8993,False,True,0,True,2,False
8997,8997,True,False,0,False,0,True
9210,9210,True,False,0,False,0,True
9212,9212,True,False,0,False,0,True
9282,9282,False,True,6,False,0,True
9283,9283,False,True,0,False,0,False
9375,9375,True,False,0,False,0,True
9651,9651,False,True,0,False,1,False
9692,9692,True,False,0,False,0,True
