         Unnamed: 0            Id           Spd          Year            Alt  \
count  30892.000000  3.089200e+04  22347.000000  27837.000000   30634.000000   
mean   15445.500000  8.935868e+06    397.441947   2006.411539   26661.456649   
std     8917.896594  3.312984e+06    136.001710      7.968322   12483.639327   
min        0.000000  4.281000e+04      0.000000   1953.000000    -275.000000   
25%     7722.750000  5.024361e+06    367.600000   2001.000000   17075.000000   
50%    15445.500000  1.063306e+07    430.000000   2007.000000   32125.000000   
75%    23168.250000  1.121328e+07    471.300000   2013.000000   36000.000000   
max    30891.000000  1.522086e+07  11308.000000   2017.000000  123400.000000   

              TSecs  Species           Lat          Long       PosTime  
count  30877.000000  30892.0  24844.000000  24844.000000  2.484400e+04  
mean    1337.498915      1.0     33.014560    -29.365334  1.496016e+12  
std     1425.008256      0.0     23.104656     82.645264  1.727431e+05  
min        1.000000      1.0    -44.608589   -180.000000  1.496013e+12  
25%      347.000000      1.0     32.686794    -88.821289  1.496016e+12  
50%      920.000000      1.0     38.949955    -73.195616  1.496016e+12  
75%     1837.000000      1.0     45.638875     14.588913  1.496016e+12  
max    16604.000000      1.0     69.907059    175.093709  1.496016e+12  
